Year,Water_level
1/1/1980,2.65
2/1/1980,3.735
3/1/1980,3.91
4/1/1980,3.967
5/1/1980,4.385
6/1/1980,4.195
7/1/1980,3.668
8/1/1980,2.923
9/1/1980,2.695
10/1/1980,2.23
11/1/1980,2.83
12/1/1980,3.23
1/1/1981,3.61
2/1/1981,3.777
3/1/1981,3.785
4/1/1981,3.79
5/1/1981,3.965
6/1/1981,3.245
7/1/1981,3.017
8/1/1981,2.73
9/1/1981,3
10/1/1981,3.13
11/1/1981,2.84
12/1/1981,2.75
1/1/1982,2.633
2/1/1982,2.505
3/1/1982,3.323
4/1/1982,2.82
5/1/1982,2.947
6/1/1982,3.183
7/1/1982,3.385
8/1/1982,3.545
9/1/1982,2.72
10/1/1982,2.363
11/1/1982,2.75
12/1/1982,3.497
1/1/1983,3.44
2/1/1983,3.085
3/1/1983,3.21
4/1/1983,3.1
5/1/1983,3.285
6/1/1983,3.683
7/1/1983,3.785
8/1/1983,2.877
9/1/1983,2.575
10/1/1983,2.428
11/1/1983,2.94
12/1/1983,3.05
1/1/1984,3.606
2/1/1984,3.96
3/1/1984,4.13
4/1/1984,4.16
5/1/1984,4.29
6/1/1984,4.26
7/1/1984,4.313
8/1/1984,4.115
9/1/1984,4.44
10/1/1984,4.37
11/1/1984,4.463
12/1/1984,4.65
1/1/1985,4.738
2/1/1985,4.97
3/1/1985,5.155
4/1/1985,5.41
5/1/1985,5.72
6/1/1985,6.125
7/1/1985,6.03
8/1/1985,5.357
9/1/1985,5.083
10/1/1985,4.37
11/1/1985,3.4
12/1/1985,2.834
1/1/1986,2.565
2/1/1986,2.438
3/1/1986,2.78
4/1/1986,2.785
5/1/1986,2.825
6/1/1986,3.022
7/1/1986,3.255
8/1/1986,3.39
9/1/1986,3.16
10/1/1986,2.363
11/1/1986,3.1
12/1/1986,3.05
1/1/1987,3.117
2/1/1987,3.075
3/1/1987,3.565
4/1/1987,3.28
5/1/1987,3.827
6/1/1987,4.31
7/1/1987,4.54
8/1/1987,4.914
9/1/1987,5.073
10/1/1987,5.035
11/1/1987,4.875
12/1/1987,5.255
1/1/1988,5.493
2/1/1988,5.655
3/1/1988,5.763
4/1/1988,4.888
5/1/1988,4.478
6/1/1988,3.835
7/1/1988,3.535
8/1/1988,3.14
9/1/1988,3.947
10/1/1988,3.703
11/1/1988,3.2
12/1/1988,4.035
1/1/1989,4.068
2/1/1989,4.397
3/1/1989,3.948
4/1/1989,3.695
5/1/1989,3.385
6/1/1989,3.413
7/1/1989,3.715
8/1/1989,3.88
9/1/1989,3.545
10/1/1989,2.654
11/1/1989,2.225
12/1/1989,2.597
1/1/1990,3.318
2/1/1990,3.895
3/1/1990,4.168
4/1/1990,4.498
5/1/1990,4.82
6/1/1990,3.77
7/1/1990,3.49
8/1/1990,3.2
9/1/1990,3.44
10/1/1990,3.685
11/1/1990,4.03
12/1/1990,3.83
1/1/1991,3.785
2/1/1991,4.085
3/1/1991,4.32
4/1/1991,4.415
5/1/1991,3.45
6/1/1991,3.097
7/1/1991,3.323
8/1/1991,3.485
9/1/1991,3.73
10/1/1991,4.16
11/1/1991,4.5
12/1/1991,4.04
1/1/1992,3.213
2/1/1992,3.373
3/1/1992,3.748
4/1/1992,4.085
5/1/1992,4.385
6/1/1992,4.26
7/1/1992,3.668
8/1/1992,2.712
9/1/1992,2.4
10/1/1992,2.61
11/1/1992,2.535
12/1/1992,2.45
1/1/1993,2.825
2/1/1993,3.008
3/1/1993,3.05
4/1/1993,2.69
5/1/1993,3.075
6/1/1993,3.02
7/1/1993,2.485
8/1/1993,2.28
9/1/1993,2.228
10/1/1993,2.21
11/1/1993,2.27
12/1/1993,2.465
1/1/1994,2.416
2/1/1994,2.79
3/1/1994,3.038
4/1/1994,3.19
5/1/1994,3.332
6/1/1994,3.245
7/1/1994,2.935
8/1/1994,2.68
9/1/1994,2.57
10/1/1994,2.66
11/1/1994,2.5
12/1/1994,2.67
1/1/1995,2.986
2/1/1995,3.338
3/1/1995,4.05
4/1/1995,3.973
5/1/1995,3.493
6/1/1995,3.125
7/1/1995,1.99
8/1/1995,2.098
9/1/1995,2.213
10/1/1995,2.225
11/1/1995,2.24
12/1/1995,2.373
1/1/1996,2.463
2/1/1996,2.52
3/1/1996,2.79
4/1/1996,3.084
5/1/1996,3.118
6/1/1996,3.1
7/1/1996,3.03
8/1/1996,3.01
9/1/1996,2.567
10/1/1996,3.273
11/1/1996,3.21
12/1/1996,3.24
1/1/1997,3.29
2/1/1997,3.393
3/1/1997,3.508
4/1/1997,3.62
5/1/1997,3.53
6/1/1997,3.373
7/1/1997,3.035
8/1/1997,2.973
9/1/1997,2.927
10/1/1997,3.047
11/1/1997,3.1
12/1/1997,3.16
1/1/1998,3.283
2/1/1998,3.383
3/1/1998,4.168
4/1/1998,3.693
5/1/1998,3.828
6/1/1998,3.92
7/1/1998,3.635
8/1/1998,3.64
9/1/1998,3.98
10/1/1998,3.903
11/1/1998,3.535
12/1/1998,3.557
1/1/1999,3.588
2/1/1999,3.438
3/1/1999,3.323
4/1/1999,3.407
5/1/1999,3.25
6/1/1999,3.36
7/1/1999,3.033
8/1/1999,2.66
9/1/1999,2.438
10/1/1999,2.363
11/1/1999,2.75
12/1/1999,3.05
1/1/2000,3.535
2/1/2000,3.373
3/1/2000,3.273
4/1/2000,3.18
5/1/2000,3.235
6/1/2000,3.305
7/1/2000,3.31
8/1/2000,3.393
9/1/2000,2.438
10/1/2000,2.963
